0,0
0.01,0
0.02,0
0.031,2.408e-4
0.041,0.001
0.051,0.004
0.061,0.011
0.071,0.021
0.081,0.037
0.092,0.062
0.102,0.094
0.112,0.135
0.122,0.189
0.132,0.256
0.139,0.313
0.149,0.409
0.158,0.518
0.167,0.625
0.174,0.73
0.18,0.835
0.186,0.939
0.192,1.059
0.201,1.239
0.209,1.436
0.216,1.61
0.223,1.785
0.231,2.009
0.238,2.194
0.244,2.385
0.248,2.499
0.254,2.673
0.261,2.901
0.27,3.164
0.28,3.489
0.292,3.907
0.311,4.561
0.338,5.563
0.346,5.877
0.353,6.147
0.359,6.392
0.365,6.621
0.37,6.838
0.375,7.048
0.38,7.254
0.385,7.457
0.39,7.658
0.394,7.86
0.399,8.064
0.404,8.271
0.409,8.483
0.414,8.702
0.419,8.931
0.424,9.175
0.43,9.438
0.437,9.733
0.444,10.079
0.454,10.525
0.468,11.207
0.475,11.55
0.486,12.072
0.494,12.51
0.501,12.836
0.506,13.119
0.512,13.378
0.516,13.622
0.521,13.856
0.525,14.084
0.529,14.309
0.534,14.534
0.538,14.76
0.542,14.991
0.547,15.23
0.551,15.48
0.556,15.749
0.562,16.046
0.568,16.392
0.576,16.828
0.588,17.491
0.606,18.503
0.615,19.073
0.622,19.466
0.628,19.805
0.633,20.115
0.638,20.41
0.643,20.698
0.648,20.984
0.652,21.273
0.657,21.571
0.662,21.884
0.668,22.222
0.671,22.41
0.676,22.693
0.682,23.12
0.693,23.766
0.702,24.358
0.716,25.256
0.723,25.713
0.73,26.202
0.737,26.616
0.743,26.999
0.748,27.368
0.754,27.739
0.759,28.116
0.765,28.51
0.771,28.939
0.779,29.436
0.788,30.086
0.802,31.071
0.823,32.572
0.831,33.082
0.837,33.526
0.842,33.945
0.85,34.493
0.856,34.93
0.862,35.403
0.87,35.95
0.88,36.679
0.894,37.784
0.916,39.467
0.923,39.986
0.929,40.457
0.935,40.917
0.941,41.392
0.947,41.911
0.955,42.535
0.967,43.444
0.984,44.823
0.996,45.796
1.003,46.425
1.01,46.999
1.017,47.581
1.025,48.224
1.035,49.04
1.049,50.274
1.063,51.447
1.074,52.392
1.083,53.139
1.091,53.885
1.101,54.755
1.116,56.071
1.138,58.067
1.151,59.217
1.162,60.218
1.174,61.335
1.193,63.025
1.211,64.752
1.224,66.018
1.238,67.267
1.242,67.685
1.249,68.314
1.258,69.261
1.273,70.691
1.287,72.055
1.303,73.588
1.327,75.909
1.362,79.44
1.393,82.566
1.439,87.338
1.468,90.427
1.512,95.133
1.562,100.579
1.612,106.133
1.652,110.64
1.656,111.102
1.662,111.796
1.671,112.84
1.685,114.412
1.705,116.785
1.736,120.375
1.782,125.83
1.821,130.456
1.834,132.024
1.847,133.592
1.86,135.155
1.88,137.479
1.909,140.921
1.953,145.985
2.003,151.617
2.02,153.555
2.044,156.196
2.08,160.098
2.122,164.507
2.156,168.025
2.206,173.116
2.235,176.06
2.28,180.401
2.33,185.203
2.38,189.896
2.405,192.24
2.443,195.706
2.469,198.059
2.509,201.538
2.547,204.879
2.597,209.139
2.647,213.309
2.697,217.391
2.747,221.388
2.797,225.303
2.847,229.137
2.897,232.893
2.947,236.574
2.997,240.181
3.047,243.717
3.091,246.773
3.141,250.179
3.191,253.518
3.241,256.793
3.291,260.004
3.341,263.153
3.391,266.243
3.441,269.273
3.491,272.245
3.528,274.399
3.578,277.275
3.627,280.012
3.677,282.782
3.72,285.135
3.77,287.809
3.82,290.432
3.87,293.006
3.92,295.531
3.97,298.01
4.02,300.441
4.07,302.827
4.12,305.168
4.17,307.465
4.22,309.718
4.27,311.929
4.32,314.097
4.37,316.225
4.42,318.311
4.47,320.357
4.52,322.364
4.57,324.332
4.606,325.718
4.656,327.62
4.696,329.124
4.746,330.96
4.796,332.758
4.846,334.521
4.896,336.248
4.946,337.939
4.996,339.596
5.042,341.079
5.079,342.277
5.126,343.753
5.176,345.288
5.207,346.234
5.226,346.788
5.246,347.368
5.269,348.049
5.301,348.986
5.35,350.365
5.4,351.755
5.438,352.785
5.458,353.328
5.478,353.857
5.502,354.51
5.539,355.475
5.589,356.748
5.639,357.991
5.678,358.94
5.728,360.129
5.778,361.288
5.828,362.419
5.878,363.52
5.928,364.593
5.978,365.637
6.028,366.653
6.078,367.64
6.128,368.6
6.178,369.531
6.228,370.435
6.278,371.312
6.328,372.161
6.378,372.983
6.428,373.778
6.478,374.546
6.528,375.287
6.578,376.003
6.628,376.692
6.678,377.355
6.728,377.992
6.778,378.603
6.828,379.188
6.86,379.544
6.863,379.572
6.871,379.663
6.881,379.761
6.893,379.866
6.908,379.979
6.926,380.1
6.948,380.23
6.976,380.368
7.013,380.512
7.061,380.657
7.126,380.786
7.208,380.869
7.258,380.882
7.36,380.831
7.473,380.663
7.623,380.289
7.841,379.573
8.022,378.926
8.204,378.277
8.386,377.629
8.568,376.98
8.75,376.331
8.932,375.682
9.113,375.034
9.295,374.385
9.477,373.737
9.659,373.088
9.841,372.44
10.023,371.791
10.205,371.143
10.387,370.494
10.569,369.846
10.75,369.198
11.25,367.415
11.432,366.768
11.615,366.12
11.797,365.471
11.978,364.823
12.16,364.175
12.342,363.528
12.524,362.879
12.706,362.232
12.887,361.584
13.069,360.936
13.251,360.288
13.433,359.641
13.614,358.993
13.796,358.346
13.978,357.698
14.16,357.052
14.342,356.404
14.524,355.756
14.706,355.108
15.206,353.327
15.388,352.68
15.57,352.033
15.751,351.386
15.933,350.739
16.115,350.092
16.297,349.445
16.478,348.798
16.66,348.151
16.842,347.504
17.023,346.857
17.205,346.21
17.387,345.563
17.568,344.917
17.75,344.271
17.932,343.624
18.114,342.977
18.295,342.33
18.477,341.684
18.659,341.037
18.84,340.391
19.022,339.744
19.203,339.098
19.385,338.452
19.567,337.805
19.748,337.159
19.93,336.513
20.111,335.867
20.293,335.221
20.474,334.575
20.656,333.929
20.838,333.283
21.019,332.637
21.201,331.991
21.383,331.345
21.564,330.699
21.746,330.054
21.927,329.408
22.109,328.762
22.29,328.117
22.472,327.471
22.654,326.825
22.835,326.18
23.017,325.534
23.198,324.889
23.38,324.243
23.561,323.598
23.743,322.953
23.924,322.307
24.106,321.663
24.287,321.017
24.469,320.372
24.65,319.727
24.832,319.081
25.013,318.437
25.195,317.792
25.376,317.146
25.557,316.502
25.739,315.857
25.92,315.212
26.102,314.567
26.283,313.922
26.464,313.278
26.646,312.633
26.827,311.988
27.009,311.344
27.19,310.7
27.372,310.055
27.553,309.41
27.735,308.766
27.916,308.121
28.097,307.477
28.279,306.832
28.46,306.188
28.641,305.544
28.823,304.9
29.004,304.256
29.185,303.612
29.367,302.967
29.548,302.323
29.729,301.679
29.91,301.035
30.091,300.391
30.273,299.748
30.454,299.104
30.635,298.46
30.817,297.816
30.998,297.173
31.179,296.529
31.36,295.885
31.541,295.242
31.723,294.599
31.904,293.955
32.085,293.311
32.266,292.668
32.448,292.025
32.629,291.381
32.81,290.738
32.991,290.094
33.172,289.451
33.672,287.675
33.853,287.033
34.035,286.389
34.216,285.746
34.397,285.103
34.578,284.46
34.759,283.818
34.941,283.175
35.122,282.532
35.303,281.889
35.484,281.246
35.665,280.604
35.846,279.961
36.027,279.319
36.208,278.676
36.389,278.033
36.57,277.391
36.751,276.748
36.932,276.106
37.113,275.464
37.294,274.821
37.475,274.179
37.656,273.537
37.837,272.895
38.018,272.253
38.2,271.61
38.381,270.968
38.561,270.326
38.742,269.684
