0,0
0.01,0
0.02,0
0.031,3.319e-4
0.041,0.002
0.051,0.005
0.061,0.012
0.071,0.024
0.081,0.042
0.092,0.07
0.102,0.105
0.112,0.151
0.122,0.21
0.132,0.285
0.139,0.348
0.149,0.454
0.158,0.562
0.165,0.668
0.172,0.773
0.178,0.878
0.183,0.981
0.188,1.085
0.192,1.168
0.198,1.3
0.204,1.455
0.209,1.582
0.215,1.736
0.22,1.892
0.226,2.052
0.231,2.212
0.237,2.383
0.242,2.564
0.248,2.749
0.254,2.961
0.262,3.205
0.27,3.512
0.283,3.977
0.292,4.294
0.305,4.784
0.315,5.196
0.322,5.483
0.328,5.726
0.334,5.944
0.339,6.147
0.343,6.339
0.347,6.524
0.352,6.703
0.356,6.878
0.36,7.051
0.364,7.223
0.367,7.395
0.37,7.51
0.374,7.683
0.378,7.86
0.382,8.042
0.386,8.231
0.39,8.429
0.395,8.638
0.399,8.866
0.405,9.118
0.411,9.407
0.418,9.764
0.429,10.277
0.444,11.064
0.458,11.798
0.465,12.126
0.47,12.397
0.475,12.677
0.479,12.899
0.483,13.111
0.487,13.316
0.491,13.516
0.494,13.715
0.498,13.914
0.501,14.114
0.505,14.318
0.509,14.529
0.513,14.749
0.517,14.983
0.521,15.236
0.526,15.521
0.532,15.856
0.54,16.295
0.551,16.961
0.568,17.978
0.575,18.369
0.58,18.679
0.584,18.954
0.588,19.208
0.592,19.45
0.596,19.685
0.6,19.917
0.603,20.149
0.607,20.385
0.611,20.631
0.615,20.89
0.619,21.171
0.624,21.485
0.63,21.859
0.638,22.357
0.649,23.112
0.666,24.262
0.671,24.566
0.676,24.926
0.681,25.249
0.685,25.552
0.69,25.848
0.694,26.142
0.698,26.442
0.702,26.695
0.707,27.029
0.712,27.404
0.719,27.857
0.723,28.176
0.73,28.658
0.74,29.386
0.755,30.49
0.761,30.95
0.767,31.362
0.772,31.756
0.777,32.153
0.783,32.569
0.789,33.03
0.796,33.585
0.807,34.402
0.823,35.642
0.837,36.703
0.844,37.308
0.85,37.754
0.857,38.303
0.865,38.924
0.875,39.736
0.89,40.968
0.912,42.843
0.921,43.607
0.931,44.437
0.945,45.591
0.965,47.344
0.979,48.581
0.99,49.506
1.001,50.539
1.019,52.104
1.045,54.487
1.057,55.659
1.063,56.181
1.071,56.966
1.084,58.152
1.103,59.948
1.118,61.402
1.133,62.885
1.157,65.133
1.176,67.074
1.191,68.585
1.211,70.576
1.236,73.143
1.242,73.742
1.251,74.643
1.264,76.002
1.284,78.055
1.303,80.104
1.332,83.21
1.374,87.763
1.424,93.278
1.468,98.191
1.518,103.918
1.552,107.831
1.602,113.739
1.613,115.128
1.63,117.187
1.656,120.282
1.68,123.257
1.711,127.058
1.758,132.829
1.792,137.108
1.821,140.85
1.834,142.512
1.847,144.173
1.86,145.827
1.88,148.285
1.909,151.917
1.953,157.248
2.003,163.159
2.008,163.829
2.017,164.831
2.03,166.325
2.037,167.162
2.043,167.858
2.05,168.6
2.059,169.609
2.072,171.114
2.088,172.918
2.098,173.951
2.111,175.393
2.13,177.535
2.147,179.299
2.167,181.417
2.196,184.552
2.238,188.83
2.288,193.89
2.338,198.822
2.388,203.632
2.438,208.324
2.477,211.905
2.527,216.399
2.577,220.788
2.627,225.076
2.677,229.265
2.727,233.36
2.777,237.364
2.827,241.279
2.877,245.109
2.927,248.855
2.957,251.083
2.989,253.419
3.037,256.864
3.07,259.176
3.12,262.585
3.17,265.963
3.22,269.272
3.27,272.512
3.32,275.687
3.37,278.797
3.42,281.844
3.47,284.83
3.51,287.217
3.56,290.096
3.595,292.053
3.645,294.836
3.695,297.564
3.745,300.238
3.768,301.453
3.802,303.255
3.833,304.845
3.875,306.967
3.925,309.456
3.964,311.347
4.014,313.75
4.052,315.559
4.082,316.932
4.126,318.96
4.17,320.953
4.22,323.167
4.27,325.337
4.32,327.464
4.37,329.548
4.42,331.592
4.47,333.594
4.52,335.556
4.57,337.479
4.605,338.801
4.655,340.657
4.688,341.871
4.738,343.66
4.788,345.417
4.838,347.136
4.888,348.82
4.938,350.468
4.988,352.081
5.036,353.585
5.077,354.873
5.127,356.391
5.177,357.875
5.205,358.674
5.222,359.184
5.241,359.73
5.265,360.396
5.3,361.38
5.35,362.751
5.4,364.09
5.436,365.027
5.457,365.562
5.477,366.091
5.506,366.809
5.548,367.868
5.598,369.084
5.637,370
5.676,370.911
5.726,372.051
5.776,373.161
5.826,374.241
5.876,375.293
5.926,376.316
5.976,377.31
6.026,378.276
6.076,379.214
6.126,380.123
6.176,381.005
6.226,381.859
6.276,382.686
6.326,383.486
6.376,384.258
6.426,385.004
6.476,385.723
6.526,386.416
6.576,387.082
6.626,387.722
6.676,388.337
6.726,388.925
6.776,389.487
6.826,390.024
6.86,390.378
6.863,390.403
6.872,390.492
6.883,390.588
6.896,390.692
6.913,390.803
6.933,390.924
6.96,391.052
6.995,391.187
7.041,391.323
7.104,391.446
7.186,391.525
7.232,391.536
7.334,391.485
7.448,391.315
7.606,390.922
7.802,390.299
7.974,389.717
8.146,389.134
8.319,388.552
8.491,387.969
8.664,387.386
8.836,386.804
9.009,386.221
9.181,385.639
9.353,385.057
9.526,384.474
9.698,383.892
9.871,383.309
10.043,382.727
10.215,382.145
10.388,381.562
10.56,380.98
10.732,380.398
10.905,379.816
11.077,379.234
11.249,378.652
11.421,378.07
11.594,377.488
11.767,376.906
11.939,376.324
12.111,375.742
12.283,375.16
12.456,374.578
12.628,373.996
12.8,373.415
12.973,372.833
13.145,372.251
13.317,371.67
13.49,371.088
13.662,370.506
13.834,369.925
14.007,369.344
14.179,368.762
14.352,368.181
14.525,367.599
14.697,367.017
14.869,366.436
15.041,365.854
15.213,365.273
15.386,364.692
15.558,364.111
15.73,363.529
15.902,362.948
16.074,362.368
16.247,361.786
16.419,361.205
16.591,360.624
16.763,360.043
16.935,359.462
17.108,358.881
17.28,358.3
17.452,357.719
17.624,357.138
17.796,356.558
17.969,355.977
18.141,355.396
18.313,354.815
18.485,354.235
18.657,353.654
18.829,353.073
19.001,352.493
19.173,351.912
19.346,351.332
19.518,350.751
19.69,350.171
19.862,349.59
20.034,349.01
20.206,348.43
20.378,347.849
20.55,347.269
20.722,346.689
20.895,346.108
21.067,345.529
21.239,344.948
21.411,344.368
21.583,343.788
21.755,343.208
21.927,342.628
22.099,342.048
22.271,341.468
22.444,340.888
22.616,340.308
22.788,339.728
22.96,339.148
23.132,338.569
23.304,337.989
23.476,337.409
23.648,336.829
23.82,336.25
23.992,335.67
24.164,335.091
24.337,334.511
24.509,333.932
24.681,333.352
24.852,332.772
25.024,332.194
25.197,331.614
25.369,331.034
25.541,330.455
25.713,329.876
25.884,329.296
26.056,328.717
26.228,328.138
26.4,327.559
26.572,326.98
26.744,326.401
26.916,325.821
27.088,325.243
27.26,324.664
27.432,324.085
27.604,323.505
27.775,322.927
27.948,322.348
28.119,321.769
28.291,321.19
28.463,320.611
28.635,320.033
28.807,319.454
28.979,318.875
29.15,318.296
29.322,317.718
29.494,317.139
29.666,316.561
29.838,315.982
30.009,315.404
30.181,314.826
30.353,314.247
30.525,313.669
30.697,313.09
30.869,312.512
31.041,311.934
31.212,311.355
31.384,310.777
31.556,310.199
31.728,309.621
31.9,309.042
32.071,308.464
32.243,307.886
32.415,307.309
32.587,306.73
32.758,306.152
32.93,305.575
33.102,304.997
33.273,304.419
33.445,303.841
33.617,303.263
33.789,302.686
