nohup: 忽略输入
battery shared data already exists: /home/kkkk24/桌面/attention-GP/py project/battery/generated_data/shared_data.xlsx
battery: run 240 pending tasks with 4 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
Saved battery: method=LHS, n_initial=180, repeat=7/30, RMSE_all=15.4749, RMSE_target=17.8909, MAE_all=10.2915
Saved battery: method=UCB, n_initial=180, repeat=6/30, RMSE_all=15.5676, RMSE_target=5.1783, MAE_all=9.7670
Saved battery: method=D_opt, n_initial=180, repeat=7/30, RMSE_all=14.1182, RMSE_target=14.2918, MAE_all=9.9216
Saved battery: method=K_means, n_initial=180, repeat=7/30, RMSE_all=13.4677, RMSE_target=6.1456, MAE_all=10.0002
Saved battery: method=IMSE, n_initial=180, repeat=6/30, RMSE_all=13.3441, RMSE_target=5.9208, MAE_all=9.5873
Saved battery: method=PM, n_initial=180, repeat=7/30, RMSE_all=19.7591, RMSE_target=11.4956, MAE_all=11.2110
Saved battery: method=G_opt, n_initial=180, repeat=7/30, RMSE_all=13.2381, RMSE_target=5.3565, MAE_all=9.7236
Saved battery: method=EI, n_initial=180, repeat=7/30, RMSE_all=13.4793, RMSE_target=6.4779, MAE_all=9.9207
Saved battery: method=LHS, n_initial=180, repeat=8/30, RMSE_all=25.4848, RMSE_target=9.1323, MAE_all=11.2031
Saved battery: method=UCB, n_initial=180, repeat=7/30, RMSE_all=13.2359, RMSE_target=5.4040, MAE_all=9.6305
Saved battery: method=D_opt, n_initial=180, repeat=8/30, RMSE_all=13.5544, RMSE_target=7.2137, MAE_all=9.7023
Saved battery: method=K_means, n_initial=180, repeat=8/30, RMSE_all=15.9758, RMSE_target=6.6551, MAE_all=10.3382
Saved battery: method=IMSE, n_initial=180, repeat=7/30, RMSE_all=13.4113, RMSE_target=8.2063, MAE_all=10.1568
Saved battery: method=PM, n_initial=180, repeat=8/30, RMSE_all=13.8072, RMSE_target=7.4238, MAE_all=10.7543
Saved battery: method=EI, n_initial=180, repeat=8/30, RMSE_all=13.8821, RMSE_target=5.6844, MAE_all=9.7929
Saved battery: method=G_opt, n_initial=180, repeat=8/30, RMSE_all=13.4935, RMSE_target=5.9401, MAE_all=9.5003
Saved battery: method=LHS, n_initial=180, repeat=9/30, RMSE_all=13.6308, RMSE_target=6.9941, MAE_all=9.8276
Saved battery: method=UCB, n_initial=180, repeat=8/30, RMSE_all=14.2361, RMSE_target=6.4297, MAE_all=9.7117
Saved battery: method=D_opt, n_initial=180, repeat=9/30, RMSE_all=14.2774, RMSE_target=18.2068, MAE_all=10.2657
Saved battery: method=K_means, n_initial=180, repeat=9/30, RMSE_all=13.3794, RMSE_target=5.8148, MAE_all=9.2062
Saved battery: method=IMSE, n_initial=180, repeat=8/30, RMSE_all=13.5492, RMSE_target=7.4558, MAE_all=9.7448
Saved battery: method=PM, n_initial=180, repeat=9/30, RMSE_all=15.7148, RMSE_target=7.1235, MAE_all=9.9925
Saved battery: method=G_opt, n_initial=180, repeat=9/30, RMSE_all=13.1666, RMSE_target=6.8031, MAE_all=9.7454
Saved battery: method=EI, n_initial=180, repeat=9/30, RMSE_all=13.4124, RMSE_target=6.0061, MAE_all=9.8729
Saved battery: method=LHS, n_initial=180, repeat=10/30, RMSE_all=16.2442, RMSE_target=7.5927, MAE_all=11.3966
Saved battery: method=UCB, n_initial=180, repeat=9/30, RMSE_all=13.3674, RMSE_target=5.8450, MAE_all=9.9043
Saved battery: method=D_opt, n_initial=180, repeat=10/30, RMSE_all=13.6556, RMSE_target=6.8704, MAE_all=9.8840
Saved battery: method=K_means, n_initial=180, repeat=10/30, RMSE_all=25.4645, RMSE_target=5.7460, MAE_all=10.4759
Saved battery: method=IMSE, n_initial=180, repeat=9/30, RMSE_all=13.7367, RMSE_target=6.8231, MAE_all=10.3131
Saved battery: method=PM, n_initial=180, repeat=10/30, RMSE_all=13.6800, RMSE_target=7.1339, MAE_all=10.2713
Saved battery: method=EI, n_initial=180, repeat=10/30, RMSE_all=13.4490, RMSE_target=6.1308, MAE_all=9.8396
Saved battery: method=G_opt, n_initial=180, repeat=10/30, RMSE_all=12.8473, RMSE_target=6.2300, MAE_all=9.3727
Saved battery: method=LHS, n_initial=180, repeat=11/30, RMSE_all=13.8162, RMSE_target=7.1307, MAE_all=10.3691
Saved battery: method=UCB, n_initial=180, repeat=10/30, RMSE_all=13.2207, RMSE_target=3.8189, MAE_all=9.4763
Saved battery: method=D_opt, n_initial=180, repeat=11/30, RMSE_all=13.8208, RMSE_target=10.2816, MAE_all=10.3769
Saved battery: method=K_means, n_initial=180, repeat=11/30, RMSE_all=16.6701, RMSE_target=6.6557, MAE_all=10.8488
Saved battery: method=IMSE, n_initial=180, repeat=10/30, RMSE_all=15.6675, RMSE_target=5.9571, MAE_all=10.2534
Saved battery: method=PM, n_initial=180, repeat=11/30, RMSE_all=16.0632, RMSE_target=8.0223, MAE_all=10.5437
Saved battery: method=G_opt, n_initial=180, repeat=11/30, RMSE_all=13.4607, RMSE_target=5.4591, MAE_all=9.0771
Saved battery: method=UCB, n_initial=180, repeat=11/30, RMSE_all=16.2250, RMSE_target=5.2434, MAE_all=9.6367
Saved battery: method=LHS, n_initial=180, repeat=12/30, RMSE_all=13.3678, RMSE_target=7.1111, MAE_all=9.9904
